season,seat,points,place
2016,3,1922.8799999999999,1
2016,4,1779.44,8
2016,5,1769.6599999999999,9
2016,6,1808.7999999999997,6
2016,7,1856.5,2
2016,8,1852.0600000000002,3
2016,9,1695.22,10
2016,10,1787.26,7
2016,1,1851.2400000000002,5
2016,2,1797.0400000000002,7
2016,3,1961.2799999999997,1
2016,4,1924.56,2
2016,5,1796.76,8
2016,6,1898.6000000000004,3
2016,7,1716.9,10
2016,8,1799.92,6
2016,9,1792.06,9
2016,10,1875.4199999999998,4
2016,1,1846.72,4
2016,2,1916.8999999999999,1
2016,3,1840.82,5
2016,4,1893.44,2
2016,5,1824.22,7
2016,6,1757.6999999999998,9
2016,7,1832.96,6
2016,8,1783.02,8
2016,9,1854.1399999999999,3
2016,10,1735.08,10
2016,1,1879.7200000000003,3
2016,2,1804.98,8
2016,3,1957.16,1
2016,4,1813.8400000000001,7
2016,5,1791.82,9
2016,6,1866.6799999999998,4
2016,7,1816.0,6
2016,8,1824.02,5
2016,9,1883.2799999999997,2
2016,10,1743.6999999999998,10
2016,1,1829.6799999999998,6
2016,2,1774.1999999999998,10
2016,3,1919.7600000000002,1
2016,4,1889.78,2
2016,5,1835.08,5
2016,6,1811.12,7
2016,7,1866.9,3
2016,8,1806.9199999999998,8
2016,9,1797.7399999999998,9
2016,10,1859.46,4
2016,1,1945.2799999999997,1
2016,2,1857.02,4
2016,3,1903.2800000000002,2
2016,4,1803.9199999999996,8
2016,5,1728.4399999999998,10
2016,6,1834.7999999999997,6
2016,7,1849.3,5
2016,8,1788.46,9
2016,9,1873.42,3
2016,10,1815.76,7
2016,1,1831.6399999999999,7
2016,2,1832.2799999999997,6
2016,3,1854.02,3
2016,4,1850.3199999999997,4
2016,5,1834.2199999999998,5
2016,6,1910.88,2
2016,7,1787.44,9
2016,8,1772.52,10
2016,9,1821.26,8
2016,10,1971.44,1
2016,1,1943.08,1
2016,2,1836.8200000000002,6
2016,3,1769.18,8
2016,4,1872.88,4
2016,5,1847.16,5
2016,6,1877.6999999999998,3
2016,7,1788.98,7
2016,8,1744.7199999999998,9
2016,9,1881.6000000000001,2
2016,10,1696.3399999999997,10
2016,1,1897.16,1
2016,2,1856.68,2
2016,3,1834.62,5
2016,4,1777.96,8
2016,5,1838.94,4
2016,6,1730.6200000000003,10
2016,7,1826.8400000000001,6
2016,8,1847.4199999999998,3
2016,9,1759.62,9
2016,10,1819.8799999999999,7
2016,1,1822.7799999999997,6
2016,2,1942.78,1
2016,3,1860.3599999999997,3
2016,4,1845.92,5
2016,5,1857.98,4
2016,6,1800.9,8
2016,7,1736.1,10
2016,8,1881.94,2
2016,9,1820.0000000000002,7
2016,10,1798.12,9
2016,1,1866.38,3
2016,2,1710.4999999999998,10
2016,3,1795.6799999999998,8
2016,4,1838.04,7
2016,5,1782.3799999999999,9
2016,6,1930.42,2
2016,7,1861.3200000000002,4
2016,8,1844.0,6
2016,9,1946.06,1
2016,10,1849.02,5
2016,1,1773.22,9
2016,2,1881.18,2
2016,3,1865.4199999999998,4
2016,4,1910.1799999999998,1
2016,5,1792.08,8
2016,6,1865.74,3
2016,7,1734.92,10
2016,8,1863.46,5
2016,9,1825.62,7
2016,10,1860.8,6
2016,1,1725.02,10
2016,2,1893.62,1
2016,3,1782.1599999999999,9
2016,4,1860.56,3
2016,5,1830.0,6
2016,6,1890.1,2
2016,7,1825.26,7
2016,8,1846.7200000000003,4
2016,9,1830.88,5
2016,10,1818.84,8
2016,1,1938.92,2
2016,2,1962.8799999999999,1
2016,3,1843.1599999999999,5
2016,4,1797.2,8
2016,5,1773.8000000000002,9
2016,6,1830.3200000000002,7
2016,7,1728.84,10
2016,8,1875.24,4
2016,9,1831.0200000000002,6
2016,10,1884.36,3
2016,1,1909.3400000000001,2
2016,2,1766.7199999999998,8
2016,3,1911.74,1
2016,4,1832.4399999999998,4
2016,5,1748.2199999999998,9
2016,6,1846.7799999999997,3
2016,7,1770.6000000000001,7
2016,8,1777.02,6
2016,9,1785.2400000000002,5
2016,10,1740.6799999999998,10
2016,1,1864.8600000000001,4
2016,2,1778.1399999999999,8
2016,3,1903.2599999999998,2
2016,4,1827.14,6
2016,5,1873.7199999999998,3
2016,6,1742.3000000000002,9
2016,7,1833.24,5
2016,8,1817.98,7
2016,9,1904.48,1
2016,10,1742.2200000000003,10
2016,1,1858.52,5
2016,2,1753.08,10
2016,3,1799.04,9
2016,4,1828.3200000000002,6
2016,5,1858.5800000000002,4
2016,6,2001.1799999999998,1
2016,7,1826.56,7
2016,8,1861.96,3
2016,9,1807.72,8
2016,10,1877.7600000000002,2
2016,1,1802.42,9
2016,2,1875.16,2
2016,3,1863.1999999999998,4
2016,4,1851.58,6
2016,5,1832.58,7
2016,6,1745.54,10
2016,7,1860.22,5
2016,8,1985.42,1
2016,9,1873.28,3
2016,10,1814.3,8
2016,1,1767.98,10
2016,2,1838.7600000000002,5
2016,3,1849.0,3
2016,4,1829.22,6
2016,5,1897.5400000000002,2
2016,6,1780.52,9
2016,7,1845.7399999999998,4
2016,8,2012.3600000000001,1
2016,9,1789.88,8
2016,10,1802.22,7
2016,1,1844.76,4
2016,2,1843.7400000000002,5
2016,3,1964.92,2
2016,4,1821.1599999999999,6
2016,5,1792.6799999999998,7
2016,6,1771.3000000000002,9
2016,7,1993.08,1
2016,8,1759.8200000000002,10
2016,9,1885.6599999999999,3
2016,10,1773.0400000000004,8
2016,1,1817.46,8
2016,2,1920.0200000000002,2
2016,3,1936.82,1
2016,4,1699.3000000000002,10
2016,5,1819.3799999999997,7
2016,6,1820.08,6
2016,7,1785.76,9
2016,8,1830.3400000000001,5
2016,9,1832.3600000000001,4
2016,10,1864.1,3
2016,1,1773.88,9
2016,2,1804.48,8
2016,3,1816.1599999999999,7
2016,4,1855.08,3
2016,5,1872.86,2
2016,6,1846.82,4
2016,7,1836.2,6
2016,8,1972.7,1
2016,9,1756.56,10
2016,10,1846.04,5
2016,1,1853.0,4
2016,2,1779.7399999999998,8
2016,3,1804.0,7
2016,4,1777.7799999999997,9
2016,5,1776.42,10
2016,6,1848.52,5
2016,7,1877.6999999999998,2
2016,8,1871.74,3
2016,9,1959.7200000000003,1
2016,10,1844.7600000000002,6
2016,1,1821.72,7
2016,2,1931.7199999999998,1
2016,3,1824.1000000000001,4
2016,4,1823.8000000000002,5
2016,5,1839.86,3
2016,6,1919.1599999999999,2
2016,7,1814.1399999999999,8
2016,8,1822.6599999999999,6
2016,9,1797.1599999999999,9
2016,10,1789.2,10
2016,1,1790.12,9
2016,2,1795.4199999999998,8
2016,3,1886.7199999999998,3
2016,4,1860.5600000000002,4
2016,5,1945.28,1
2016,6,1842.4200000000003,6
2016,7,1846.54,5
2016,8,1737.66,10
2016,9,1841.2,7
2016,10,1903.8799999999997,2
2016,1,1768.1599999999999,9
2016,2,1758.6200000000001,10
2016,3,1797.92,7
2016,4,1817.48,6
2016,5,1875.8000000000002,3
2016,6,1838.96,4
2016,7,1884.6200000000001,2
2016,8,1823.1799999999998,5
2016,9,1973.6,1
2016,10,1777.24,8
2016,1,1817.6599999999999,6
2016,2,1892.6799999999998,2
2016,3,1939.1399999999999,1
2016,4,1869.1799999999998,4
2016,5,1874.1600000000003,3
2016,6,1767.94,8
2016,7,1640.96,10
2016,8,1868.12,5
2016,9,1730.4,9
2016,10,1776.56,7
2016,1,1833.1799999999998,5
2016,2,1954.3799999999999,1
